episode,frames,reward,avg_reward_last_100,epsilon,q_value
0,1119,396.0,396.0,0.9989379,"tensor([0.0547, 0.0475, 0.0522, 0.0490, 0.0627, 0.0476, 0.0530, 0.0464, 0.0513,
        0.0491, 0.0531, 0.0501, 0.0483, 0.0466, 0.0508, 0.0519, 0.0497, 0.0532,
        0.0552, 0.0470, 0.0515, 0.0509, 0.0495, 0.0526, 0.0473, 0.0458, 0.0503,
        0.0507, 0.0526, 0.0516, 0.0522, 0.0550], device='mps:0',
       grad_fn=<SqueezeBackward1>)"
1,2504,440.0,418.0,0.99762215,"tensor([0.0515, 0.0486, 0.0490, 0.0481, 0.0525, 0.0521, 0.0528, 0.0487, 0.0467,
        0.0492, 0.0468, 0.0477, 0.0493, 0.0492, 0.0501, 0.0490, 0.0486, 0.0479,
        0.0489, 0.0467, 0.0484, 0.0511, 0.0521, 0.0475, 0.0487, 0.0564, 0.0498,
        0.0485, 0.0514, 0.0495, 0.0495, 0.0504], device='mps:0',
       grad_fn=<SqueezeBackward1>)"
2,4536,660.0,498.6666666666667,0.99569175,"tensor([0.0494, 0.0475, 0.0477, 0.0484, 0.0500, 0.0539, 0.0473, 0.0503, 0.0527,
        0.0527, 0.0489, 0.0544, 0.0507, 0.0487, 0.0507, 0.0504, 0.0497, 0.0488,
        0.0543, 0.0498, 0.0499, 0.0511, 0.0535, 0.0501, 0.0534, 0.0494, 0.0502,
        0.0451, 0.0524, 0.0487, 0.0531, 0.0517], device='mps:0',
       grad_fn=<SqueezeBackward1>)"
3,5520,352.0,462.0,0.99475695,"tensor([0.0506, 0.0448, 0.0557, 0.0450, 0.0559, 0.0465, 0.0559, 0.0489, 0.0510,
        0.0470, 0.0555, 0.0477, 0.0520, 0.0492, 0.0521, 0.0541, 0.0526, 0.0514,
        0.0547, 0.0541, 0.0525, 0.0473, 0.0547, 0.0543, 0.0545, 0.0480, 0.0486,
        0.0543, 0.0522, 0.0480, 0.0455, 0.0516], device='mps:0',
       grad_fn=<SqueezeBackward1>)"
4,7062,352.0,440.0,0.99329205,"tensor([0.0468, 0.0479, 0.0477, 0.0471, 0.0521, 0.0526, 0.0500, 0.0539, 0.0467,
        0.0493, 0.0444, 0.0507, 0.0476, 0.0527, 0.0493, 0.0509, 0.0513, 0.0485,
        0.0520, 0.0492, 0.0502, 0.0498, 0.0497, 0.0520, 0.0522, 0.0582, 0.0529,
        0.0472, 0.0570, 0.0516, 0.0496, 0.0477], device='mps:0',
       grad_fn=<SqueezeBackward1>)"
5,8716,220.0,403.3333333333333,0.99172075,"tensor([0.0495, 0.0476, 0.0465, 0.0541, 0.0474, 0.0524, 0.0507, 0.0531, 0.0504,
        0.0522, 0.0515, 0.0505, 0.0499, 0.0476, 0.0511, 0.0510, 0.0521, 0.0528,
        0.0492, 0.0501, 0.0521, 0.0511, 0.0522, 0.0499, 0.0591, 0.0520, 0.0517,
        0.0513, 0.0474, 0.0473, 0.0420, 0.0475], device='mps:0',
       grad_fn=<SqueezeBackward1>)"
6,10015,440.0,408.57142857142856,0.9904867,"tensor([0.0539, 0.0481, 0.0510, 0.0507, 0.0512, 0.0523, 0.0531, 0.0487, 0.0450,
        0.0460, 0.0491, 0.0469, 0.0540, 0.0498, 0.0505, 0.0489, 0.0462, 0.0497,
        0.0489, 0.0459, 0.0520, 0.0525, 0.0548, 0.0463, 0.0516, 0.0517, 0.0500,
        0.0505, 0.0478, 0.0507, 0.0501, 0.0509], device='mps:0',
       grad_fn=<SqueezeBackward1>)"
7,11473,352.0,401.5,0.9891016,"tensor([0.0556, 0.0567, 0.0567, 0.0607, 0.0583, 0.0551, 0.0546, 0.0555, 0.0596,
        0.0547, 0.0562, 0.0568, 0.0596, 0.0550, 0.0608, 0.0621, 0.0587, 0.0612,
        0.0563, 0.0558, 0.0619, 0.0593, 0.0624, 0.0569, 0.0567, 0.0608, 0.0599,
        0.0633, 0.0618, 0.0615, 0.0626, 0.0602], device='mps:0',
       grad_fn=<SqueezeBackward1>)"
8,13044,264.0,386.22222222222223,0.98760915,"tensor([0.0590, 0.0553, 0.0611, 0.0612, 0.0589, 0.0549, 0.0611, 0.0573, 0.0603,
        0.0576, 0.0604, 0.0567, 0.0613, 0.0587, 0.0566, 0.0598, 0.0595, 0.0598,
        0.0608, 0.0611, 0.0594, 0.0590, 0.0600, 0.0604, 0.0594, 0.0585, 0.0620,
        0.0581, 0.0651, 0.0621, 0.0573, 0.0587], device='mps:0',
       grad_fn=<SqueezeBackward1>)"
9,14284,308.0,378.4,0.98643115,"tensor([0.0593, 0.0634, 0.0598, 0.0539, 0.0597, 0.0581, 0.0635, 0.0588, 0.0598,
        0.0585, 0.0630, 0.0602, 0.0634, 0.0653, 0.0587, 0.0607, 0.0636, 0.0587,
        0.0564, 0.0557, 0.0585, 0.0619, 0.0587, 0.0637, 0.0586, 0.0611, 0.0608,
        0.0580, 0.0583, 0.0631, 0.0579, 0.0586], device='mps:0',
       grad_fn=<SqueezeBackward1>)"
10,16140,440.0,384.0,0.98466795,"tensor([0.0607, 0.0600, 0.0567, 0.0616, 0.0610, 0.0546, 0.0593, 0.0572, 0.0551,
        0.0583, 0.0605, 0.0570, 0.0600, 0.0559, 0.0597, 0.0592, 0.0603, 0.0622,
        0.0555, 0.0619, 0.0586, 0.0570, 0.0564, 0.0564, 0.0589, 0.0562, 0.0607,
        0.0581, 0.0554, 0.0605, 0.0528, 0.0578], device='mps:0',
       grad_fn=<SqueezeBackward1>)"
11,17159,220.0,370.3333333333333,0.9836999,"tensor([0.0582, 0.0554, 0.0604, 0.0591, 0.0550, 0.0544, 0.0555, 0.0479, 0.0561,
        0.0584, 0.0562, 0.0607, 0.0568, 0.0596, 0.0595, 0.0611, 0.0461, 0.0605,
        0.0560, 0.0557, 0.0575, 0.0580, 0.0620, 0.0594, 0.0582, 0.0599, 0.0552,
        0.0631, 0.0590, 0.0601, 0.0558, 0.0563], device='mps:0',
       grad_fn=<SqueezeBackward1>)"
12,18631,264.0,362.15384615384613,0.9823015,"tensor([0.0607, 0.0550, 0.0600, 0.0584, 0.0541, 0.0569, 0.0598, 0.0569, 0.0592,
        0.0607, 0.0585, 0.0591, 0.0568, 0.0571, 0.0593, 0.0591, 0.0609, 0.0574,
        0.0597, 0.0635, 0.0561, 0.0552, 0.0560, 0.0618, 0.0568, 0.0588, 0.0581,
        0.0619, 0.0573, 0.0596, 0.0556, 0.0591], device='mps:0',
       grad_fn=<SqueezeBackward1>)"
